Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,Original_index,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
135,Meta Winner Finite Memory: 82 players,2.587190082644628,0.5172176308539945,132.0,1.0,233,0.33429752066115703,0.18292011019283747,0.2745179063360882,0.20826446280991734,0.6268342182899144,0.8597948794014784,0.2900962021889623,0.628409679089027
136,"ZD-Extort3: 0.11538461538461539, 0.3333333333333333, 1",2.5863636363636364,0.5698347107438017,145.0,1.0,211,0.48829201101928377,0.08154269972451791,0.1803030303030303,0.24986225895316805,0.8301384621117368,0.6175057901948658,0.38650494677280395,0
137,"DBS: 0.75, 3, 4, 3, 5",2.585123966942149,0.9227272727272727,4.0,1.0,36,0.7921487603305785,0.1305785123966942,0.03140495867768595,0.04586776859504132,0.9974747474747475,0.8540932115189541,1.0,0.5416666666666666
138,Prober 4,2.5830578512396696,0.5,146.0,1.0,133,0.30578512396694213,0.19421487603305784,0.2921487603305785,0.2078512396694215,0.41899224570457444,0.4922715572715573,0.5737758537758537,0.5505375576804149
139,Meta Winner Deterministic: 152 players,2.5830578512396696,0.6300275482093664,133.0,1.0,230,0.4265840220385675,0.2034435261707989,0.23209366391184572,0.13787878787878788,0.652764649081947,0.888768990727195,0.5329359442640692,0.7594970572498663
140,Meta Winner Stochastic: 68 players,2.5830578512396696,0.3443526170798898,182.0,1.0,235,0.23911845730027548,0.10523415977961434,0.3066115702479339,0.3490358126721763,0.5305211909737771,0.5113773792345221,0.20799251040640362,0.2708096532218923
141,Detective,2.5768595041322313,0.5582644628099174,62.0,1.0,41,0.39614325068870526,0.16212121212121214,0.23539944903581267,0.20633608815426996,0.6512529196959523,0.5862503268543537,0.7971155858453018,0.49040618772761635
142,Tit For 2 Tats,2.5768595041322313,0.9151515151515152,0.0,1.0,192,0.803443526170799,0.11170798898071627,0.02134986225895317,0.06349862258953168,1.0,0.7486981156098803,1.0,0
143,"ZD-SET-2: 0.25, 0.0, 2",2.5756198347107437,0.565564738292011,135.0,1.0,218,0.42024793388429754,0.1453168044077135,0.22107438016528927,0.21336088154269972,0.7299137989396399,0.3928632012601478,0.5385563405925397,0.33776459673588854
144,Meta Winner Ensemble: 220 players,2.5756198347107437,0.3258953168044077,168.0,0.9449035812672176,231,0.20137741046831956,0.12451790633608815,0.3228650137741047,0.3512396694214876,0.4408587576444719,0.42727946127946126,0.22694344796834476,0.28697975601414005
145,Stochastic WSLS: 0.05,2.5752066115702483,0.7318181818181818,64.0,1.0,184,0.5917355371900826,0.14008264462809916,0.13719008264462812,0.13099173553719007,0.9375980884149479,0.18882800206329614,0.26616562449895775,0.9511893409620683
